Market Symbol,Market Stock Position,Market Change Pct
DAX*,20655.39,UNCH
FTSE*,8391.9,+1.09%
CAC*,7634.74,UNCH
FTSE MIB*,35819.79,+0.48%
STOXX600*,520.05,UNCH
